"Gene_Name" "Gene_ID"
"529" "FAT1-CST26" "YBR041W-YBR042C"
"530" "CST26-QDR3" "YBR042C-YBR043C"
"531" "tV(UAC)B" "tV(UAC)B"
"532" "GIP1" "YBR045C"
"533" "QDR3-TCM62" "YBR043C-YBR044C"
"534" "ZTA1" "YBR046C"
"535" "TCM62-tV(UAC)B" "YBR044C-tV(UAC)B"
"536" "FMP23" "YBR047W"
"537" "tV(UAC)B-GIP1" "tV(UAC)B-YBR045C"
"538" "RPS11B" "YBR048W"
"539" "REB1" "YBR049C"
"540" "GIP1-ZTA1" "YBR045C-YBR046C"
"541" "ZTA1-FMP23" "YBR046C-YBR047W"
"542" "REG2" "YBR050C"
"543" "FMP23-RPS11B" "YBR047W-YBR048W"
"544" "YBR051W" "YBR051W"
"545" "RFS1" "YBR052C"
"546" "RPS11B-REB1" "YBR048W-YBR049C"
"547" "YBR053C" "YBR053C"
"548" "REB1-REG2" "YBR049C-YBR050C"
"549" "YRO2" "YBR054W"
"550" "YBR051W-RFS1" "YBR051W-YBR052C"
"551" "RFS1-YBR053C" "YBR052C-YBR053C"
"552" "PRP6" "YBR055C"
"553" "YBR053C-YRO2" "YBR053C-YBR054W"
"554" "tL(UAA)B2" "tL(UAA)B2"
"555" "YBR056W" "YBR056W"
"556" "YRO2-PRP6" "YBR054W-YBR055C"
"557" "tQ(UUG)B" "tQ(UUG)B"
"558" "YBR056W-A" "YBR056W-A"
"559" "YBR056C-B" "YBR056C-B"
"560" "MUM2" "YBR057C"
"561" "PRP6-tL(UAA)B2" "YBR055C-tL(UAA)B2"
"562" "tL(UAA)B2-YBR056W" "tL(UAA)B2-YBR056W"
"563" "UBP14" "YBR058C"
"564" "YBR056W-tQ(UUG)B" "YBR056W-tQ(UUG)B"
"565" "tQ(UUG)B-YBR056W-A" "tQ(UUG)B-YBR056W-A"
"566" "TSC3" "YBR058C-A"
"567" "YBR056W-A-MUM2" "YBR056W-A-YBR057C"
"568" "AKL1" "YBR059C"
"569" "MUM2-UBP14" "YBR057C-YBR058C"
"570" "ORC2" "YBR060C"
"571" "UBP14-TSC3" "YBR058C-YBR058C-A"
"572" "TSC3-AKL1" "YBR058C-A-YBR059C"
"573" "TRM7" "YBR061C"
"574" "AKL1-ORC2" "YBR059C-YBR060C"
"575" "YBR062C" "YBR062C"
"576" "YBR063C" "YBR063C"
"577" "ORC2-TRM7" "YBR060C-YBR061C"
"578" "YBR064W" "YBR064W"
"579" "ECM2" "YBR065C"
"580" "NRG2" "YBR066C"
"581" "TRM7-YBR062C" "YBR061C-YBR062C"
"582" "YBR062C-YBR063C" "YBR062C-YBR063C"
"583" "TIP1" "YBR067C"
"584" "YBR064W-ECM2" "YBR064W-YBR065C"
"585" "BAP2" "YBR068C"
"586" "ECM2-NRG2" "YBR065C-YBR066C"
"587" "NRG2-TIP1" "YBR066C-YBR067C"
"588" "TAT1" "YBR069C"
"589" "TIP1-BAP2" "YBR067C-YBR068C"
"590" "ALG14" "YBR070C"
"591" "YBR071W" "YBR071W"
"592" "BAP2-TAT1" "YBR068C-YBR069C"
"593" "HSP26" "YBR072W"
"594" "RDH54" "YBR073W"
"595" "YBR072C-A" "YBR072C-A"
"596" "TAT1-ALG14" "YBR069C-YBR070C"
"597" "ALG14-YBR071W" "YBR070C-YBR071W"
"598" "PFF1" "YBR074W"
"599" "YBR071W-HSP26" "YBR071W-YBR072W"
"600" "HSP26-YBR072C-A" "YBR072W-YBR072C-A"
"601" "ECM8" "YBR076W"
"602" "YBR076C-A" "YBR076C-A"
"603" "SLM4" "YBR077C"
"604" "ECM33" "YBR078W"
"605" "PFF1-ECM8" "YBR074W-YBR076W"
"606" "RPG1" "YBR079C"
"607" "SLM4-ECM33" "YBR077C-YBR078W"
"608" "SEC18" "YBR080C"
"609" "ECM33-RPG1" "YBR078W-YBR079C"
